,empty_slots,free_bikes,citibike_id,citibike_station
0,19,17,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie
1,3,13,32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station
2,25,1,6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty
3,14,2,66f873d641d448bd1572ab086665a458,12th & Yukon (City Hall)
4,7,8,485d4d24c803cfde829ab89699fed833,8th & Ash
5,7,6,b07d513f87897cff7319a0e59d7e567c,Spyglass & Seawall
6,7,7,d1c9556d92f329703229fb3e33899a3b,Stamps Landing
7,4,15,95e624191c655f50e401d280cd39a9ad,Ontario & Seawall
8,26,0,3e112f9fe877e0003780386359060ae6,Canada Place
9,17,3,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia
10,9,17,bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard
11,8,13,d2244f1a81d317c76cabd65e81250835,Marinaside & Davie
12,23,5,0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby
13,4,16,fbb1d30d7f30b049873f5be5688563d4,Hornby & Pender
14,13,6,7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library)
15,11,2,b7683a86874e6300fd89f4cc0b075f57,Beatty & Nelson
16,1,21,3367c1e1dbf73caf7c10e4c96a92f58d,Abbott & Cordova
17,4,13,1d7e73b3321ebb6713774d376247d9f9,Comox & Denman
18,8,6,664502c28e8147615f17b8ea355f40d0,Cordova & Bute
19,16,2,6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson
20,10,5,fad9ebcf614dd1a72593a34072ff76f8,Helmcken & Burrard
21,9,5,3a4131fa94946d93d3529136efd62413,Pacific & Richards
22,3,11,25318ec3e06fae1397a3a2f645104149,Chilco & Beach
23,10,2,444991edc9550be0908f032da5e3c95f,Comox & Broughton
24,7,15,434b6f4e7fc30198f901b60fc905f609,Bute & Comox
25,6,26,f97d5bf41f35aa181288429fb52e3488,Cambie & Water
26,5,23,fef69fb400210d861107a61db954d037,Keefer & Abbott
27,7,8,9d3123425823420514b8ad410074f02d,Expo & Carrall
28,2,10,f1ca711137cde59e824167a4274df888,Keefer & Columbia
29,2,23,4f6ebf2026d540ffe40e29a80138ad5e,Marinaside & Cooperage
30,4,22,be14efdc86dedd6a8cd338e78ab4e7c7,Bidwell & Burnaby
31,14,11,6ddeafa873279951630a00191333c45d,Robson & Granville
32,1,13,c7b5bec0b2f4ab9a2d3f9d837725620c,Expo & Smithe
33,1,21,b9fd847d53fe45658fee4c46e7f562b8,Cypress & Cornwall
34,17,11,c2be5403b1c101e8032cf6696457200e,Anderson & 2nd
35,9,4,71c064fa93cab5f0b7306e6c923b77c4,7th & Granville
36,11,3,96bf713e60bc35cc2feb5fd53a4f3471,10th & Granville
37,11,2,8dc684732a2a25bdf63ec0ecccee4e6e,14th & Granville
38,8,5,686c0fdb962e26e274d81fc286c010dd,14th & Cambie
39,1,19,0cf6cd1809fa7f510812f5b052f578c4,Ontario & 5th
40,18,0,93c88a18c673e2c72a6afa93d6b89f18,10th & Main
41,5,13,8fb5ce1e34ad31de940481953aea452c,Cypress & 4th
42,13,14,aa704bfba40286bd0661b64d1f75e778,Vanier Park
43,8,12,8c9ea7f2132376859ef34fab981d6932,Nelson & Mainland
44,6,11,1d4153659a0a0a2089078c739df6737d,Nelson & Richards
45,17,1,fbb4c06b719596c21f91fd51ef6d4710,7th & Heather
46,19,1,72c1049dfbbde7c24ec45c14f1a5ee85,Harwood & Bute
47,10,8,00fa94ad698dc4a9e4d708d6fd32f294,Chilco & Barclay
48,3,13,efa947b901a2cf85b58320b3ad26a2fe,Chilco & Robson
49,16,2,66a53e9c32e4f5c724f9478240020142,Nicola & Robson
50,1,16,97b25faf822b93fdbf72da1d594c0288,Carrall & Hastings
51,17,11,6c7fb9043e6df5a4cc50404581a947b9,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery
52,7,9,30bf49544b1c864688b78172d42cca5e,Stanley Park - Vancouver Aquarium
53,6,10,9f63cebac9073eac3e90be2b9a91b02b,Stanley Park - Second Beach North
54,1,16,9aa325529164ec68b4d96c4f1c4fc7c1,Stanley Park - Second Beach South
55,18,2,e3d32ad772a5898c3b96c4d23d2cd542,Stanley Park - Totem Poles
56,6,9,625a2ad202275c8e2be3ce868e85b105,Heather & 14th
57,7,9,6c0de983fb47a3439a9e3c36a3d15804,8th & Ontario
58,13,12,92c9e62c0b42adf4759c430009d3987a,1st & Chestnut
59,13,3,51e4d3731aebbf9c3186f310a08de6c8,7th & Arbutus
60,13,3,826af7eee4ce28b6fa4b4f0211305792,5th & Arbutus
61,17,5,4cb84c9a3743287019ae00ceef9a1cd3,10th & Oak
62,24,16,56fef9ba0af67a4ff3e661a8e02c0b08,Arbutus & 16th
63,9,3,c81f75a80312c51ceaef1304beac1990,Cypress & 14th
64,6,6,afacb2133f2462aba7748cc21b71c788,Cypress & 16th
65,1,11,a9f0b06d07f89b75e92c0cf686223aea,Georgia & Thurlow
66,13,2,686b314a6c3348efd2297d6b3dfed1a7,Thurlow & Pendrell
67,4,8,0d1b5c62f8d22e3650811df55596e25b,Heather & 16th
68,8,8,521c2122c791ed038168c3b8ff24061b,14th & Ontario
69,12,1,838d5bb59963474ad08a6d5b156943ed,14th & Main
70,12,6,b9ab6ce009eda6006ade1d7568d9db9c,David Lam Park
71,1,17,9ec4163496363b31ab475cb851b57b21,Beach & Seymour
72,12,4,fedff7a263c182df94bda7307059cc52,Richards & Helmcken
73,2,14,b9baf685b7053de899bf3467f61c2781,Burrard & 4th
74,2,14,8d6f0cbf7d44d2908c8ce73ed00dbf66,Burrard & 7th
75,13,1,988f8f74c4a12d1a30ddf2f7cd6318f8,Charleson Park
76,4,12,2f09a64507cf6257c67ca20af27339eb,Chestnut & McNicoll
77,13,3,73f388336d879bedc962cd412eb0296e,Creekside Park North
78,20,0,cb6fddfdac7d350d25be475c7ab9e05a,Alexander & Main
79,17,3,cadc004f0903ef45e898032143c0832f,Arbutus Greenway & 14th
80,7,9,57e928d8c30fab0ebffb3ede850f89d6,Arbutus Greenway & Fir
81,6,30,6526a2eb3832f9ba0224d237e901ea5b,Kitsilano Beach Park
82,10,20,e44c2235dd603dbee54fe08f7543e85a,Arbutus & McNicoll
83,8,8,3596b4831ee2ea7812de753b32306835,Vine & 4th
84,0,14,c448b73d92f7f8e1daafb3b9c5fbe6a6,Alexander & Dunlevy
85,9,3,5fc29e0ac42c11abb45bf12aaeb925bd,Alder & 11th
86,7,7,61901a235d4cfceb7f8f2c3888b98617,10th & Columbia
87,21,4,175a074bf65455d1633639511dc129c8,1st & Manitoba
88,19,1,35eb539fb9298bb7e4f6759ca0256505,10th & Ontario
89,5,13,7b8dfa12900bcb02b47a14e4e5010ba3,Quebec & 1st
90,13,1,b30ed0719dd281867a4d39779c78b58a,Columbia & 14th
91,8,5,ace20c241ee38643c9060f290b215b9d,7th & Laurel
92,13,2,3aed670ccdcd94b966c0f505f8b028c7,7th &  Alder
93,5,11,ae69aeab748d02e5a7d89da28a1a8511,Science World
94,3,17,0c9ad3e3703e5869b82619ecdf54f43e,1st & Scotia
95,1,11,f3708906ec71348f5a42579fede36a0d,Rogers Tower
96,3,17,9449a6a83fbf88452e384350e5ac95b7,York & Yew
97,19,1,365da33e9ce06ea53db1173a0f8eae71,Pine & 10th
98,11,0,707c1c54e0278fbae5d0ae3c42a25b71,8th & Scotia
99,17,2,5105df3dd0daf4c26980f4134f61e5cc,Alberni & Jervis
100,1,19,82c794442f54fabf9db6e392ca1fac0f,Stanley Park - Information Booth
101,5,9,2ca388bba54706770900ca2a9d7aa5be,14th & Alder
102,4,10,e7bf01431a6982f032996ad50a9e5bd7,Pender & Gore
103,9,9,1648ead5ea617d2cea115869d9516f5e,Carrall & Seawall
104,7,6,91035fe1d70b65c9cb8ec4a007af7c7f,Glen & Union
105,16,2,d3aaff4414a8c3fd5480c470f77ff68a,Adanac & McLean
106,7,8,b307709b305dd04328fbbf2c6db86419,Commercial & Adanac
107,6,10,e9c4bd1fffbb1e5b058b8ea15f7307f6,Pender & Commercial
108,14,0,bb0847559ce71c93d8215c0997ea2811,Keefer & Princess
109,16,3,1ef5c4ff3f0b09422bb1597fd9d7568b,Alexander & Railway
110,11,3,ac3b8198f03754a0afb8b6ed6d220cdd,Napier & Commercial
111,7,7,029a505bd4422a1afd127987757f71a6,Britannia Parking Lot
112,9,5,0459b7e93703980b853cd65a9dc60596,Thornton & National
113,5,23,a21f40838346e300063bdda3c5c04105,Keith & 6th
114,14,0,6b1622540fe5c85d365754dd8c20bf0c,Grant & Commercial
115,21,1,ebc551adb0fc1a684f4080e4954a9ba4,2nd & Commercial
116,13,1,6eaa02e5bcf78db5386683d38fa2dabd,4th & Commercial
117,19,1,983e58671adcc67af94457d7887dbb15,8th & Commercial
118,24,1,797ff1725f8d2b18337de51e240ff60d,10th & Commercial
119,6,8,277b4b4881bdb7dac73012672179def8,Woodland & 10th
120,9,9,e1ff428dadc7c32141b9d89a7b56728a,Glen & Broadway
121,4,10,012d3e06901cc222b1c2cf0a2ace3a29,St George & Broadway
122,8,4,a6455af6b689bcbad07ae2c8a3419b50,7th & Woodland
123,13,1,475627e149c1a6ba73caac8d8d2fa617,Woodland & 4th
124,11,1,f387ec226c432c5c054e3d3616d90501,Woodland & Graveley
125,9,5,1675a77b9af656faf527b4e6de53e63b,Charles & Woodland
126,9,6,1bca0e944a4faf170db82793414b03ab,18th & Main
127,10,4,d0782213f003ce9eb276fbceff44f1f4,Prince Edward & 16th
128,11,3,1ef01f2f89621d51afbabaa6296e55be,Prince Edward & 14th
129,16,0,c47a1f62ea461ce1c9f3e2478c657df6,13th & St George
130,13,1,0cee06d7d10f7d3162cea03d22b7beed,10th & Fraser
131,9,5,f62bc2bfe9a0a563d5b6745ce6d962ba,8th & Fraser
132,12,0,1c8f7fd6535db12cc45cfc59aa9da058,St Catherines & 10th
133,19,1,17a3320a52bcc62161908967f8a06613,St Catherines & 7th
134,11,5,aed214941445e0345aa3254805a9e8b8,Pender & Victoria
135,9,7,d67640af1b3b3b3ce47169dbc9182470,Victoria & 4th
136,11,0,b2c6aaf2b4fa8937bfe3941c038683aa,Victoria & 10th
137,14,4,0a43242bee10cd33f539af2c1bf5ecbf,15th & Victoria (Trout Lake)
138,5,12,198810b9b0af5d229d1b6fa12c620e06,Triumph & Victoria
139,13,1,d02e2eaafda91425eddd24d8acd328ab,Windsor & 14th
140,15,1,08c7a90bf297fde8c1f1156db13987d4,14th & Fraser
141,10,4,97005696a3dff3366a8410b817388990,15th & Knight
142,1,15,c52e51e3288a00993bdf892fdc2c2c2c,Commercial & Pandora
143,0,16,7d231a181d21056e4ba80c4d9939fe92,Carolina & Great Northern Way
144,16,0,dcf3d5c9f1b3a46f0ef2eb2247931f89,6th & Prince Edward
145,8,7,9bee3167f10c884044cea0d36afcd1ef,6th & Carolina
146,29,9,45a4c865db23e1cad0209afa5a799de0,Stanley Park - Third Beach Parking Lot
147,7,7,fe0c57d04d6e682d284d501446095fc9,Union & Dunlevy
148,6,10,b10d422b045805f1c350c47c983381e8,Keefer & Hawks
149,6,10,4e8fdc99e77ba1b70d90e124a704d0c1,Hawks & Union
150,21,1,b562f08327af465e4531e20226789489,Charles & Commercial
151,15,5,4ac99b928a91d8ccb785c9d0b805adb6,10th & Kingsway
152,5,15,99c81f71db35911c79a86a1c5edc5604,Beach & Hornby
153,9,16,e12234b6f1299d178f34bffaca92f043,Burrard Station (Melville & Dunsmuir)
154,21,8,5a34495280727a5b50b9aa41e14e9a16,Bute & Barclay
155,11,13,9130f9aa3bb037a04c17e6f2630327e5,8th & Yukon
156,9,3,9a48ca226f82f52d02707b054ebc7e9e,Princess & Union
157,9,12,b3bb9f58d3530d33a1a09b6be9e973e0,Dunsmuir & Richards
158,18,1,c2f4e05c01ea0d27934ac7dbc50cbd0c,5th & Main
159,8,12,9a5478470b56379c31cf4e671584d5cc,3rd & Quebec
160,8,8,257715b845828e027ff35dd0f11c971e,Richards & Cordova
161,13,7,910027847876403b57f1013c16504688,Richards & Robson
162,18,7,06487275cd19694152824c7c3088e8ff,Olympic Village Station
163,13,1,b428c0e64d9b9fdb3bf8e85c95ffdf6b,Campbell & Hastings
164,10,4,d085c6749a32517e1fb0d070e4128402,Cardero & Davie
165,4,36,a6aec7b8c25da4c02829cd7839b8933d,Aquatic Centre
166,10,10,c924f6a41b130fad49cfae47271314bc,Beach & Broughton
167,8,13,8e93d0da1ee6caadf21ed9575b5fa9da,Beach & Cardero
168,0,18,9413725a5d3bb5ce2ad0682b07a3ffab,Georgia & Homer
169,10,8,7ed043a19e6a4ece742fe747b663bdbf,Columbia & 5th
170,0,20,ce5dccf5a0f190bb4567a2fd93e7971e,Haro & Denman
171,10,8,1d442ad1a71774c82688a45954e47bfd,Arbutus & 10th
172,12,2,2781435bde344e1b64f1bebac6bc9008,Ontario & 16th
173,11,1,e9b37f2d9b7b2e2e3ade73f13acb69b2,Richards & Davie
174,17,0,fffd87607aaae16fbb1f71615cbe7d17,8th & Prince Edward
175,12,7,da8b6e94f90ad41a3f8de10596992372,Jervis & Robson
176,18,0,32f70f7ae14ba87523c6286a6c4d5c37,Smithe & Burrard
177,8,1,df5ab349a7a85d4b10da4cc3ec65c607,Broughton & Davie
178,10,4,e0318460138ffbf4692005d5b5a9f900,Cypress & 10th
179,18,13,db51c556fe50ec1deefbc9697c70cb51,Granville Island
180,5,11,58a026f0c506caec20697a4f90538450,McLean & Pender
181,18,0,0e0aef6fabaa808b3a3cef24657257a4,Richards & Smithe
182,23,2,90c746df94ce1a12f1f617acfe4a8ce3,Bute & Robson
183,3,17,80b5c12ef21fd47275d37b2c9935249c,Trafalgar & Cornwall
184,4,20,899f59a9994302e8e1e4be01117ef707,Alma & Point Grey
185,5,9,8d2d5bb3b9142f781f2a7f441e6bad7a,Point Grey & Blenheim
186,6,17,5de0fe55497681d4cc9dd25509cf51ab,Hastings & Broughton
187,4,14,2681455ba2d97283998a806b14d3e95c,Yew & Broadway
188,7,15,064a7b39b1dbc4bfc4cf8f454e360c57,8th & Macdonald
189,3,15,9c1397c06e07bf74fc049f1a0872eea0,Balaclava & Broadway
190,7,18,9763838317308a4766b83696986a157b,Dunbar & Broadway
191,6,10,c64ee19c62a363019ddbaedf71df2882,Grandview & Commercial
192,7,4,421516af381a11f54d07fc79be68d3d3,14th & Oak
193,4,14,38f045e3f43f86eae42ca4c60257ade0,Wallace & 4th
194,2,18,5ba6e9725b1b0ee8cd25df976e47726b,Balsam & Cornwall
195,1,14,f90ed7ad754ec04b7852941a480a4c77,Balaclava & 6th
196,2,13,abfaf72456a4828a22f5bf60d3a80777,Trafalgar & Broadway
197,5,10,2ff7eb4230654603592ab1b0780ec5e1,Dunbar & 6th
198,22,2,ea9485fcdce0611243474d000e4ad248,18th & Cambie
199,17,6,671ce9e4a92063620f772d2c57f0f3ab,Blenheim & 4th
200,9,7,41a55a7e2908fbbd65175b794d26bc8d,Heather & 18th
201,2,14,a59924f0ff3fb481a7bd8a5e9c36858f,Point Grey & Bayswater
202,11,3,89a0b49a66e54a7639ad960962148a3e,20th & Main
203,10,7,44fc3d58831a9f2b919c7a3a1838b74a,Station & Terminal
204,11,21,d40db8c27c5bd409d57cfa846f73c378,Jericho Beach
205,19,3,4990fe5772f3b73eebeec125b41e478e,Burrard & Drake
206,11,13,bf96df77771ef0ed710d8e0e67917f45,Columbia & 1st
207,7,23,e75e83499d3fa2e174dc2a8ffd238119,Davie & Beach
208,22,4,0438114d2e6b96118de69bc9775bb21e,Morton & Denman
209,12,0,07b13214cb69f2ec007d888450f3d6bc,13th & Cambie
210,2,15,f5e8fa1fc4252bda2f93dd27ed2d603f,Nelson & Denman
211,1,13,c2a9c5d0e4578b928554c86f3d2c1162,Melville & Bute
212,7,11,5f45325fdd6334a4c0d3b62853b19fa6,Seymour & Cordova
213,4,12,085a0e120a08a80a58c0ae0ff9da565a,Arbutus & Nanton
214,2,15,8d5f47f01d7ad668419dfe9b7fe69c9a,Yukon & 6th
215,15,1,bede4b24dae115d4cd43d2e6cc9812cb,11th & Kingsway
216,6,4,680b1ddfd50c4397b365c9c00f09b0d1,Wylie & 2nd
217,20,0,b26f83e904f3a778466ebcd763b7316a,29th & Cambie
218,7,5,6620c54bd6b3a79800b2b67e999b24d0,Rolston & Granville
219,12,8,7f091b50fbbd892bf9fb869a64c47120,East Blvd & 37th
220,14,2,57d39a680c9407cda0fb4de6d9c55138,28th & Willow
221,12,0,97388f4e4ea102a30345524bda465f4e,Ontario & 23rd
222,20,0,066ecc3584913fa035ec1417323beb80,30th & Ontario
223,13,7,b530d04d393d71cffb8b8b07f4a82380,Franklin & Nanaimo
224,10,6,06bdc4d55f34b2a491305534fd5defda,Lakewood & Triumph
225,8,10,8e44a17d2fa446ca220b90c7063b42ca,Wall & Eton
226,11,7,7c17f51469f1a7145455f65ef6afbd87,Lakewood & Oxford
227,10,4,e1432b72df561a1df34290679ec9c773,22nd & Cambie
228,11,0,549f00f6039e8bb702a00dcca08a8ed0,King Edward & Cambie
229,22,0,d8c4fe5e09b6f010fbaa85cc7302d66b,Heather & 29th
230,6,19,0c42f45e4a14957ad4a6d521d0ba8bc3,Cardero & Robson
231,14,5,62a202eb98c0a4b09ba6746f5ee94ab3,Commercial & 20th
232,13,5,04f64fde5ba1ebde8ad78c74914adb34,Burrard & 14th
233,23,0,cc2084e365f6f230fe26bae0b6867775,Hornby & Drake
234,11,9,f38bac9712f3beee2149ba2a97048878,Cardero & Bayshore
235,20,0,9ee3bc9e836768e3e04e4f3328dae03b,27th & Main
236,5,12,aa1cbf97abc3cd50515bc54633a9bb2a,Cordova & Granville
237,13,0,13021bba7bbeca1ccd8726ca17da59e6,22nd & Main
238,0,20,5699b40126e10c2f68eefc3eb18ff3a1,1st & Fir
239,18,4,34fd37d12eb989b49518ef53941ee3ff,Sasamat & 10th
240,14,6,b7dd37a7dd668d6d10024b7f18acc438,Trimble & 8th
241,15,4,cc25ae4f093b33ba0afd1dbc0dd20324,Highbury & 8th
242,11,8,db1e56a71a3279f51301d732ee5a055b,IK Barber Learning Centre
243,22,5,5726de7c5646b82f7aaeafba50aee03e,War Memorial Gym
244,23,1,cde61c70e5556ee2fe3ceb9d958b6482,Pharmaceutical Sciences
245,12,8,852212d6d52b5f00544fad01d21c7db2,Georgia & Main
246,19,0,3dae5d936bb6b222d135eff52833e7f4,Bute & Davie
247,0,0,10acadd77bc21f26a7f09d8c74d4af2d,Robson & Beatty
248,12,8,58345bb719f4e570ed4edc9dfa6a68a2,West Mall Swing Space Building
249,21,5,261efc67071963969b3f848c66454d97,Orchard Commons
250,15,12,ee620d77724c8993b0d366e7ec655b64,Wesbrook Village - Berton & Shrum
