,yelp_id,yelp_name,yelp_review_count,yelp_categories,yelp_rating,yelp_city,location.zip_code,location.country,yelp_location_province,yelp_address,latitude,longitude,citibike_id
0,FPP0VvrPrV8RrF6Yye31ig,Chef Hung Taiwanese Beef Noodle,67,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",2.7,Vancouver,V6S 0C8,CA,BC,"['3313 Shrum Lane', 'Unit 102', 'Vancouver, BC V6S 0C8', 'Canada']",49.2545285,-123.2360941,7a19c49f486d7c0c02b3685d7b240448
1,uW6NtwN8hxrOLMyPi9IVcA,Neptune  Chinese Kitchen,37,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'bbq', 'title': 'Barbeque'}]",2.9,Vancouver,V6S 0C8,CA,BC,"['3337 Shrum Lane', 'Vancouver, BC V6S 0C8', 'Canada']",49.2542603931418,-123.235776618598,32603a87cfca71d0f7dfa3513bad69d5
2,oSRxJSXssqOAAVlF1DS0Zg,Doughgirls,63,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.4,Vancouver,V6S 0B9,CA,BC,"['3322 Shrum Lane', 'Vancouver, BC V6S 0B9', 'Canada']",49.254644,-123.235875,6d42fa40360f9a6b2bf641c7b8bb2862
3,oaBBSXNwlk7hOK4XIiw00A,Burgoo Bistro,135,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'bistros', 'title': 'Bistros'}]",3.9,Vancouver,V6R 2H9,CA,BC,"['4434 10th Avenue W', 'Vancouver, BC V6R 2H9', 'Canada']",49.2635099,-123.20713,66f873d641d448bd1572ab086665a458
4,estK0IAUPgS0bftyYHTXNA,Blenz Coffee,29,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.3,Vancouver,V6S 0B1,CA,BC,"['3381 Wesbrook Mall', 'Vancouver, BC V6S 0B1', 'Canada']",49.2545322100702,-123.235484349483,485d4d24c803cfde829ab89699fed833
5,yxAJSHBWRpQIJ-E-RbZWWg,Rice Burger,85,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.4,Vancouver,V6R 2J1,CA,BC,"['2630 Sasamat Street', 'Vancouver, BC V6R 2J1', 'Canada']",49.26342101277164,-123.2088827705523,b07d513f87897cff7319a0e59d7e567c
6,5iiJ36-HXD3J-VYmAapPOw,Museum of Anthropology,150,"[{'alias': 'museums', 'title': 'Museums'}]",4.5,Vancouver,V6T 1Z2,CA,BC,"['6393 NW Marine Drive', 'University of British Columbia', 'Vancouver, BC V6T 1Z2', 'Canada']",49.2694442373977,-123.258967355186,d1c9556d92f329703229fb3e33899a3b
7,WXUjrwRXK3YPQSVujEO-rQ,Jamjar Canteen,41,"[{'alias': 'lebanese', 'title': 'Lebanese'}]",4.0,Vancouver,V6T 0C5,CA,BC,"['6035 University Boulevard', 'Vancouver, BC V6T 0C5', 'Canada']",49.2662351,-123.2475496,95e624191c655f50e401d280cd39a9ad
8,FIxsysrkr43lsaGWb6pmQA,Murchie's Fine Tea,3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",3.7,Vancouver,V6S 0A9,CA,BC,"['3309 Wesbrook Mall', 'Vancouver, BC V6S 0A9', 'Canada']",49.2548513219532,-123.235801421106,3e112f9fe877e0003780386359060ae6
9,caHt1eI98a41GjzLAsZ9JA,Bombay Masala Indian Restaurant,24,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'catering', 'title': 'Caterers'}]",4.6,Vancouver,V6R 2H8,CA,BC,"['4473 West 10th Avenue', 'Vancouver, BC V6R 2H8', 'Canada']",49.263994092234284,-123.20836677276952,6993b3dbb0758927967592ea612a2b1e
10,fNYtvLAR2K1nR53MIxiBoA,Wildlight Kitchen + Bar,25,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.7,Vancouver,V6T 0C9,CA,BC,"['107 5380 University Blvd', 'Vancouver, BC V6T 0C9', 'Canada']",49.26580244774791,-123.23678619986066,bf8408067b0e0c963f3ff526977bcef3
11,W3fcG0C3w-6ARo_5yO4FYQ,Togo Sushi,30,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",2.3,Vancouver,V6T 1W5,CA,BC,"['3380 Shrum Lane', 'Vancouver, BC V6T 1W5', 'Canada']",49.254306733397,-123.23576396553,d2244f1a81d317c76cabd65e81250835
12,CTmQdP8KdS0Da6hAPZLquw,UBC Botanical Garden,36,"[{'alias': 'gardens', 'title': 'Botanical Gardens'}]",4.3,Vancouver,V6T 1Z4,CA,BC,"['6804 SW Marine Drive', 'Vancouver, BC V6T 1Z4', 'Canada']",49.2543734,-123.2501803,0b543fc4e694fe07a54dac48bb1b3390
13,CrjJBP42QMtw5hV_C1I4QA,Spanish Banks Beach Park,44,"[{'alias': 'parks', 'title': 'Parks'}]",4.7,Vancouver,V6T 1E2,CA,BC,"['4801 Northwest Marine Drive', 'Vancouver, BC V6T 1E2', 'Canada']",49.27690315358108,-123.21747950193787,fbb1d30d7f30b049873f5be5688563d4
14,JIvgzge5x_7EnlzIzKtMvQ,Koerner's Pub,51,"[{'alias': 'pubs', 'title': 'Pubs'}]",3.8,Vancouver,V6T 1A1,CA,BC,"['1758 W Mall', 'Vancouver, BC V6T 1A1', 'Canada']",49.2683451,-123.25837,7181df50ee1d1a05559399211382b7c8
15,6kP_UD5MP5PWmzUTr1_tgg,Sports Illustrated Clubhouse,3,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}]",3.3,Vancouver,V6T 1W5,CA,BC,"['3340 Shrum Lane', 'Vancouver, BC V6T 1W5', 'Canada']",49.254274,-123.23564,b7683a86874e6300fd89f4cc0b075f57
16,D02tg_m6dxwgz0473aYDfA,Loafe Cafe,39,"[{'alias': 'cafes', 'title': 'Cafes'}]",3.9,Vancouver,V6T 1Z2,CA,BC,"['6163 University Blvd', 'Vancouver, BC V6T 1Z2', 'Canada']",49.2660042,-123.2492292,3367c1e1dbf73caf7c10e4c96a92f58d
17,QLF8Y0go5XG56zetWGWEVw,Nicli Antica Pizzeria,2,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",2.5,Vancouver,V6T 1W5,CA,BC,"['3339 Shrum Lane', 'Vancouver, BC V6T 1W5', 'Canada']",49.254125583854005,-123.23615689627992,1d7e73b3321ebb6713774d376247d9f9
18,A1H-vlWpuuxDP1cjCnB-xg,Great Dane Coffee,63,"[{'alias': 'cafes', 'title': 'Cafes'}]",4.1,Vancouver,V6T 0B4,CA,BC,"['6011 Walter Gage Road', 'Vancouver, BC V6T 0B4', 'Canada']",49.2700488028238,-123.250755445288,664502c28e8147615f17b8ea355f40d0
19,zVvd80dF_cOj1nfJwj1EwQ,Sharetea,3,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",5.0,Vancouver,V6S 0A5,CA,BC,"['3348 Wesbrook Mall', 'Vancouver, BC V6S 0A5', 'Canada']",49.2545448,-123.2350161,6c24a62b5ee0a2a8014eb0dfb6d40025
